Province,District,2012,2013,2014,2015,2016,2017,2018,2019,2020
Hà Nội,Sơn Tây,1.444741,1.461316,1.925532,1.861739,2.048096,2.355865,2.241115,2.670823,2.562295
Hà Nội,Thanh Oai,0.566419,0.736181,0.794456,0.900368,1.302057,1.640947,2.168791,2.509668,2.398874
Hà Nội,Thanh Trì,5.178219,6.048361,6.312715,6.645699,6.985926,8.047844,8.715436,8.447201,8.369011
Hà Nội,Thanh Xuân,24.375575,24.286019,28.353765,28.817171,32.045264,31.002941,31.245201,30.127544,26.490706
Hà Nội,Thường Tín,1.350031,1.560455,1.985131,2.010508,2.410277,2.879625,3.143348,3.35891,3.432762
Hà Nội,Thạch Thất,0.954682,1.040813,1.213578,1.420484,1.497279,1.679312,1.92409,2.263095,2.275645
Hà Nội,Tây Hồ,9.491156,9.999964,11.454029,14.300689,15.559247,15.653662,16.083871,16.879752,14.559622
Hà Nội,Đan Phượng,2.876921,3.311968,4.101949,4.044211,3.544978,4.556651,5.017379,5.657871,6.22959
Hà Nội,Đông Anh,3.529308,3.652241,4.372859,5.449243,5.187445,6.808553,6.702537,7.98389,7.811236
Hà Nội,Đống Đa,26.501704,25.099458,29.387552,30.394855,31.959876,31.432867,32.716001,34.641925,29.282879
Hà Nội,Ứng Hòa,0.334348,0.359907,0.47132,0.393529,0.473756,0.602521,0.705573,0.862721,1.049363
Hà Tĩnh,Can Lộc,0.034936,0.069101,0.065429,0.083243,0.076789,0.138392,0.160337,0.158768,0.207023
Hà Tĩnh,Cẩm Xuyên,0.05069,0.061565,0.081973,0.105485,0.10399,0.131576,0.180222,0.190954,0.270549
Hà Tĩnh,Hà Tĩnh,2.81729,3.015479,3.920121,5.138996,4.984137,5.655919,6.675024,6.467503,6.777516
Hà Tĩnh,Hương Khê,0.001985,0.000883,0.002149,0.00389,0.003819,0.011124,0.013194,0.013974,0.01407
Hà Tĩnh,Hương Sơn,0.00192,0.003813,0.011374,0.015333,0.010378,0.016163,0.019112,0.010315,0.016077
Hà Tĩnh,Hồng Lĩnh,0.423999,0.587823,0.826106,1.106863,1.293704,1.875672,1.588198,1.559305,2.00902
Hà Tĩnh,Kỳ Anh,0.028227,0.032018,0.061211,0.059065,0.047224,0.072492,0.092453,0.098695,0.120272
Hà Tĩnh,Kỳ Anh (Thị xã),0.513512,0.564082,1.277212,2.772954,4.512347,5.431845,4.946668,4.445282,3.84827
Hà Tĩnh,Lộc Hà,0.032449,0.034575,0.179945,0.198224,0.278124,0.477635,0.443266,0.375401,0.552646
Hà Tĩnh,Nghi Xuân,0.137245,0.171512,0.225468,0.302886,0.369112,0.469464,0.62284,0.73476,0.828655
Hà Tĩnh,Thạch Hà,0.114985,0.157031,0.196242,0.22818,0.248133,0.328978,0.4538,0.464746,0.580101
Hà Tĩnh,Vũ Quang,0.003524,0.003783,0.005452,0.018312,0.007851,0.019341,0.02611,0.011336,0.010827
Hà Tĩnh,Đức Thọ,0.008289,0.022222,0.033482,0.051183,0.066332,0.113707,0.099697,0.105867,0.188568
Hưng Yên,Hưng Yên,2.348781,2.614045,3.11488,3.50835,3.671303,3.843909,4.166785,3.703494,4.123819
Hưng Yên,Khoái Châu,0.313802,0.394787,0.563089,0.608264,0.820436,1.051434,1.384888,1.61886,1.940063
Hưng Yên,Kim Động,0.368585,0.355896,0.493252,0.653613,0.655872,0.74611,0.962227,0.947847,1.10322
Hưng Yên,Mỹ Hào,1.423533,1.899533,2.140649,2.336347,2.702461,3.264959,3.357842,4.148922,4.469554
Hưng Yên,Phù Cừ,0.060459,0.064518,0.088022,0.1312,0.130631,0.170108,0.394642,0.580142,0.72164
Hưng Yên,Tiên Lữ,0.215758,0.232822,0.324129,0.503516,0.478679,0.676836,0.923672,0.974737,1.114186
Hưng Yên,Văn Giang,1.867932,1.958065,2.416492,2.587185,3.67167,4.092896,4.948849,5.256963,5.683921
Hưng Yên,Văn Lâm,2.425296,2.861999,3.2691,3.548905,4.007741,4.528763,5.154266,5.611418,5.610592
